ano,uf,soma_produto_interno_bruto,soma_produto_interno_bruto_per_capita
2002,RO,7467627.0,217399.12999999995
2002,AC,2971304.0,79535.6
2002,AM,22093339.0,161996.3
2002,RR,2392032.0,68740.24999999999
2002,PA,26482161.0,445564.40000000026
2002,AP,3173343.0,69543.53
2002,TO,5322567.0,456855.4200000002
2002,MA,15924007.0,394353.4099999998
2002,PI,7122636.0,339728.62999999995
2002,CE,28718842.0,410290.3999999999
2002,RN,13566805.0,540182.3899999998
2002,PB,12747019.0,526096.5800000001
2002,PE,36056034.0,486801.7499999999
2002,AL,11536854.0,326507.05000000016
2002,SE,10332492.0,335098.4200000001
2002,BA,58842980.0,1237730.5300000007
2002,MG,124071066.0,3728550.340000001
2002,ES,27048999.0,417731.23999999993
2002,RJ,184310916.0,1099955.31
2002,SP,518878826.0,5775896.209999996
2002,PR,88235712.0,2670330.969999999
2002,SC,54481893.0,2368639.650000001
2002,RS,98847211.0,3980020.130000001
2002,MS,16440424.0,624005.6399999999
2002,MT,19190654.0,1014094.7699999999
2002,GO,38629367.0,1690717.26
2002,DF,53902200.0,24721.18
2003,RO,9425013.0,284650.13000000006
2003,AC,3377235.0,92443.14000000001
2003,AM,25862138.0,173428.40999999995
2003,RR,2594080.0,73719.97
2003,PA,30270150.0,503866.2900000001
2003,AP,3413195.0,81739.72
2003,TO,6612337.0,640716.4600000004
2003,MA,19502903.0,506707.35999999975
2003,PI,8414898.0,427750.6900000002
2003,CE,32687418.0,465381.5599999997
2003,RN,14865442.0,595480.1799999999
2003,PB,14737926.0,611395.0700000001
2003,PE,38815850.0,530399.9399999997
2003,AL,12624029.0,342354.33000000013
2003,SE,11749569.0,405742.30000000005
2003,BA,67174230.0,1431225.9600000002
2003,MG,144189105.0,4333029.480000002
2003,ES,31519110.0,490088.1100000001
2003,RJ,202640787.0,1241668.1
2003,SP,591454036.0,6507595.210000005
2003,PR,110039424.0,3469883.2400000016
2003,SC,64098479.0,2812169.499999998
2003,RS,119325400.0,5326419.82
2003,MS,21846565.0,857684.1500000005
2003,MT,26697095.0,1434514.3100000005
2003,GO,45557894.0,1976073.7399999977
2003,DF,58456124.0,26198.95
2004,RO,11004643.0,304960.65999999986
2004,AC,3784001.0,97092.32999999999
2004,AM,31090695.0,186834.88
2004,RR,2822758.0,80003.47
2004,PA,37272723.0,607700.24
2004,AP,3824739.0,86306.93
2004,TO,7251578.0,687327.5199999998
2004,MA,22127135.0,547543.2599999999
2004,PI,9406460.0,484151.36
2004,CE,36890815.0,503771.3800000001
2004,RN,17252397.0,696972.2
2004,PB,15757830.0,659110.0400000004
2004,PE,44982683.0,592404.4699999999
2004,AL,14044904.0,368437.32000000007
2004,SE,13336259.0,451263.39000000013
2004,BA,77931719.0,1629833.8300000003
2004,MG,171870931.0,5152532.170000004
2004,ES,39732641.0,588887.0700000001
2004,RJ,241206741.0,1523655.0800000005
2004,SP,652955566.0,6833158.390000007
2004,PR,123451534.0,3747938.36
2004,SC,73618967.0,3098699.180000001
2004,RS,131192202.0,5341877.350000003
2004,MS,23372310.0,904145.8999999999
2004,MT,33388672.0,1817945.4400000006
2004,GO,51103822.0,2185011.5600000005
2004,DF,67076505.0,29393.1
2005,RO,12511820.0,344950.0400000001
2005,AC,4300582.0,104963.18000000001
2005,AM,33980877.0,204335.35
2005,RR,3193432.0,87989.08000000002
2005,PA,40522896.0,661690.2
2005,AP,4306409.0,97365.08
2005,TO,7707343.0,690769.4699999995
2005,MA,25104214.0,587280.1
2005,PI,10711833.0,525007.76
2005,CE,41059464.0,549465.7499999999
2005,RN,19966918.0,799125.1399999999
2005,PB,17557239.0,738657.1899999997
2005,PE,50240325.0,662626.5099999997
2005,AL,15484518.0,410067.55999999994
2005,SE,14430117.0,487582.6800000001
2005,BA,88291877.0,1765748.7299999993
2005,MG,188364428.0,5637925.950000001
2005,ES,47020584.0,734275.6600000001
2005,RJ,269830066.0,1677937.7599999998
2005,SP,743042946.0,7543530.339999999
2005,PR,127464516.0,3686121.679999997
2005,SC,81549236.0,3293114.990000001
2005,RS,136362779.0,4789611.519999996
2005,MS,23725258.0,893238.28
2005,MT,34257050.0,1817238.5
2005,GO,53865120.0,2126216.15
2005,DF,75732681.0,32460.0
2006,RO,13054717.0,352791.25
2006,AC,4661806.0,111394.29
2006,AM,39933214.0,238243.19999999998
2006,RR,3802452.0,97359.47000000003
2006,PA,45983028.0,719925.5099999995
2006,AP,5280824.0,109312.73000000001
2006,TO,8655612.0,739328.6800000002
2006,MA,29710646.0,645110.6900000001
2006,PI,13360477.0,594847.12
2006,CE,46500321.0,627541.07
2006,RN,22890129.0,895130.7699999997
2006,PB,20838014.0,851162.0600000002
2006,PE,55485296.0,743892.4400000002
2006,AL,17395671.0,445735.6099999999
2006,SE,16419800.0,573614.8799999999
2006,BA,95347798.0,1902687.7300000014
2006,MG,212659551.0,6254517.970000002
2006,ES,53463871.0,790875.3099999999
2006,RJ,299738178.0,1883359.01
2006,SP,824529297.0,8539865.080000008
2006,PR,137648307.0,3796494.990000002
2006,SC,91063451.0,3557541.2699999986
2006,RS,147622599.0,5627140.569999998
2006,MS,26667893.0,942933.34
2006,MT,30700168.0,1404674.3499999994
2006,GO,61375409.0,2236360.8000000003
2006,DF,84661406.0,35515.55
2007,RO,14438378.0,421969.2700000001
2007,AC,5458172.0,129642.24999999999
2007,AM,43479774.0,259591.97000000003
2007,RR,4203303.0,111115.24999999999
2007,PA,51846874.0,765867.5800000007
2007,AP,6012522.0,134338.19
2007,TO,10192840.0,912814.4099999996
2007,MA,30730865.0,697983.41
2007,PI,13736088.0,654359.3500000008
2007,CE,50818757.0,667893.9200000004
2007,RN,26318261.0,984947.3099999999
2007,PB,22909807.0,889258.6499999996
2007,PE,62459325.0,818547.3499999997
2007,AL,19871270.0,487881.08
2007,SE,18218448.0,625124.9800000001
2007,BA,109329529.0,2185587.26
2007,MG,240355233.0,6769227.209999997
2007,ES,60658397.0,996898.9799999999
2007,RJ,323698284.0,1996452.7600000002
2007,SP,935653183.0,9673737.150000008
2007,PR,165208891.0,4531040.539999999
2007,SC,103728095.0,4071117.420000003
2007,RS,168009754.0,6710731.700000004
2007,MS,30084766.0,1023365.6399999999
2007,MT,38027577.0,1690372.1999999995
2007,GO,71410569.0,2792519.2100000004
2007,DF,93404001.0,38032.45
2008,RO,17285543.0,503313.07
2008,AC,6410256.0,145914.47999999998
2008,AM,48115262.0,282418.22
2008,RR,4841864.0,122821.08999999998
2008,PA,60956984.0,847876.6900000002
2008,AP,6950413.0,143337.85
2008,TO,12116395.0,1065599.9499999997
2008,MA,37932400.0,912287.3600000002
2008,PI,16203336.0,796013.7399999999
2008,CE,60415575.0,789739.7600000004
2008,RN,28898860.0,1044876.5699999998
2008,PB,26889570.0,1020125.1399999999
2008,PE,70413939.0,903431.5199999999
2008,AL,22262296.0,540188.5200000001
2008,SE,21418376.0,762086.9999999998
2008,BA,121667451.0,2344624.4
2008,MG,278607621.0,7572736.180000006
2008,ES,72091161.0,1178290.8199999998
2008,RJ,378285801.0,2395218.6299999994
2008,SP,1042510170.0,9982313.569999993
2008,PR,185683865.0,5159050.01
2008,SC,121477256.0,4710363.83
2008,RS,190229820.0,7539889.160000002
2008,MS,36219258.0,1234405.8299999998
2008,MT,49202503.0,2224716.4499999993
2008,GO,82417571.0,3088209.8500000006
2008,DF,110299557.0,43133.65
2009,RO,19725009.0,541883.08
2009,AC,7407821.0,160315.14999999997
2009,AM,50559841.0,292883.01
2009,RR,5671975.0,136945.46
2009,PA,61665093.0,853747.3000000002
2009,AP,7490654.0,148793.28
2009,TO,13689810.0,1217975.2800000005
2009,MA,40994571.0,963109.6600000005
2009,PI,18946445.0,897215.2599999994
2009,CE,67199960.0,838029.5199999994
2009,RN,30941054.0,1050914.7799999998
2009,PB,30230409.0,1124475.4200000002
2009,PE,79760953.0,1016095.1000000003
2009,AL,24182389.0,560485.6199999999
2009,SE,21707244.0,727173.2800000001
2009,BA,137942482.0,2537725.4700000016
2009,MG,287443855.0,7647811.8400000045
2009,ES,69215362.0,1103760.3500000003
2009,RJ,391650859.0,2153450.87
2009,SP,1127093821.0,11237528.090000004
2009,PR,196675610.0,5219985.819999997
2009,SC,129098538.0,5008338.79
2009,RS,204344950.0,7821645.410000004
2009,MS,39517745.0,1307108.2399999995
2009,MT,52693413.0,2291855.99
2009,GO,92865740.0,3484540.030000001
2009,DF,124323753.0,47690.54
2010,RO,23907884.0,616767.2900000002
2010,AC,8342356.0,183570.99000000002
2010,AM,60877125.0,358896.8399999999
2010,RR,6639150.0,143732.65
2010,PA,82684518.0,1103393.7600000002
2010,AP,8237794.0,162177.90000000002
2010,TO,16404814.0,1304745.6000000008
2010,MA,46309630.0,986381.6900000002
2010,PI,22269147.0,1015584.1700000004
2010,CE,79336306.0,990756.8799999997
